Identifiant,Code Postal,Localité,Horaires Lundi,Horaires Mardi,Horaires Mercredi,Horaires Jeudi,Horaires Vendredi,Horaires Samedi,Horaires Dimanche,Accès sur rendezvous,Téléphone,Adresse (Structure),Code Officiel Département
136,83130,La Garde,9h -18h,9h -18h,9h -18h,9h -18h,9h -18h,fermé,fermé,oui,,421 Avenue 1er Bataillon Infanterie de Marine du Pacifique,Provence-Alpes-Côte d'Azur
759,4300,Forcalquier,14h30 â€“ 17h30,9h â€“ 12h30 / 14h30 â€“ 17h30,9h â€“ 12h30 / 14h30 â€“ 17h30,9h â€“ 12h30 / 14h30 â€“ 17h30,9h â€“ 12h30 / 14h30 â€“ 17h30,fermé,fermé,oui,33776150710,1 Place du Bourguet,Provence-Alpes-Côte d'Azur
580,93400,Saint-Ouen-sur-Seine,9h-17h,9h-17h,9h-17h,9h-17h,9h-17h,9h-17h,fermé,oui,33149456803,5 Rue des écoles,11
610,58000,Nevers,10:00-12:30/14:00â€“17:30,09:00-12:30/14:00â€“17:30,09:00-12:30/14:00â€“17:30,09:00-12:30/14:00â€“17:30,09:00-12:30,fermé,fermé,oui,33386616001,3 bis Rue Lamartine,Bourgogne-Franche-Comté
1107,,62491,,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,08:00-12:00/14:00-18:00,09:00-13:00,fermé,https://partners.doctolib.fr/centre-de-sante/laventie/centre-de-vaccination-covid-19-flandre-lys?pid=practice-165123&enable_cookies_consent=1,2.77017,32
777,91600,Savigny-sur-Orge,12-16h,8h-16h,8h-16h,8h-16h,8h-16h,fermé,fermé,oui,01 69 54 40 35,Place du 19 Mars 1962,Île-de-France
250,59000,Lille,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,oui,33362943677,1 Boulevard du Professeur Jules Leclercq,Hauts-de-France
486,94310,Orly,09:00-13:00/14:00-18:00,09:00-13:00/14:00-18:00,09:00-13:00/14:00-18:00,09:00-13:00/14:00-18:00,09:00-13:00/14:00-18:00,09:00-12:00,fermé,oui,33148902408,14 ter Avenue des Martyrs de Chateaubriant,Île-de-France
314,62000,Arras,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,10:00-17:00,fermé,non précisé,03 92 04 34 71,57 Avenue Winston Churchill,Hauts-de-France
1122,36600,ValenÃ§ay,fermé,fermé,fermé,fermé,fermé,fermé,fermé,oui,,28 Rue des Princes,Centre-Val de Loire
345,,62100,2021-02-11T14:33:51+01:00,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-13:00,2021-01-13,50.9398,556 AV WILLY BRANDT
429,78000,Versailles,ouvert,ouvert,ouvert,ouvert,ouvert,fermé,fermé,oui,01.30.97.29.30,7 bis Rue Pierre Lescot,Île-de-France
696,69240,Thizy-les-Bourgs,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,fermé,non précisé,33423101010,6 Rue de l'Hospice,Auvergne-Rhône-Alpes
347,62110,Hénin-Beaumont,09:00-12:00/13:30-18:30,09:00-12:00/13:30-18:30,09:00-12:00/13:30-18:30,09:00-12:00/13:30-18:30,09:00-12:00/13:30-18:30,fermé,fermé,oui,03 92 04 34 71,1110 Route de Courrieres,Hauts-de-France
